Fecha;Estacion;Valor_t2m
01-01-2024;Santo Domingo, Ad.;15.4
01-01-2024;Rodelillo, Ad.;17.3
01-01-2024;Pudahuel Santiago;20.2
01-01-2024;Eulogio Sanchez, Tobalaba Ad.;21.1
02-01-2024;Santo Domingo, Ad.;15.9
02-01-2024;Rodelillo, Ad.;16.5
02-01-2024;Pudahuel Santiago;21.1
02-01-2024;Eulogio Sanchez, Tobalaba Ad.;21.6
03-01-2024;Santo Domingo, Ad.;16.9
03-01-2024;Rodelillo, Ad.;15.4
03-01-2024;Pudahuel Santiago;22.6
03-01-2024;Eulogio Sanchez, Tobalaba Ad.;23.1
04-01-2024;Santo Domingo, Ad.;16.3
04-01-2024;Rodelillo, Ad.;15.9
04-01-2024;Pudahuel Santiago;21.2
04-01-2024;Eulogio Sanchez, Tobalaba Ad.;22.1
05-01-2024;Santo Domingo, Ad.;16.8
05-01-2024;Rodelillo, Ad.;15.2
05-01-2024;Pudahuel Santiago;19.5
05-01-2024;Eulogio Sanchez, Tobalaba Ad.;20.9
06-01-2024;Santo Domingo, Ad.;17
06-01-2024;Rodelillo, Ad.;15.1
06-01-2024;Pudahuel Santiago;19.4
06-01-2024;Eulogio Sanchez, Tobalaba Ad.;20.5
07-01-2024;Santo Domingo, Ad.;16.3
07-01-2024;Rodelillo, Ad.;18.1
07-01-2024;Pudahuel Santiago;21
07-01-2024;Eulogio Sanchez, Tobalaba Ad.;21
08-01-2024;Santo Domingo, Ad.;16
08-01-2024;Rodelillo, Ad.;19.2
08-01-2024;Pudahuel Santiago;22.1
08-01-2024;Eulogio Sanchez, Tobalaba Ad.;21.8
09-01-2024;Santo Domingo, Ad.;14.6
09-01-2024;Rodelillo, Ad.;17.2
09-01-2024;Pudahuel Santiago;21.7
09-01-2024;Eulogio Sanchez, Tobalaba Ad.;21.5
10-01-2024;Santo Domingo, Ad.;15.2
10-01-2024;Rodelillo, Ad.;16.2
10-01-2024;Pudahuel Santiago;21.6
10-01-2024;Eulogio Sanchez, Tobalaba Ad.;21.8
11-01-2024;Santo Domingo, Ad.;15.3
11-01-2024;Rodelillo, Ad.;16.1
11-01-2024;Pudahuel Santiago;22.3
11-01-2024;Eulogio Sanchez, Tobalaba Ad.;22.3
12-01-2024;Santo Domingo, Ad.;15.8
12-01-2024;Rodelillo, Ad.;15
12-01-2024;Pudahuel Santiago;20.8
12-01-2024;Eulogio Sanchez, Tobalaba Ad.;21.5
13-01-2024;Santo Domingo, Ad.;16
13-01-2024;Rodelillo, Ad.;15.7
13-01-2024;Pudahuel Santiago;19.2
13-01-2024;Eulogio Sanchez, Tobalaba Ad.;20.4
14-01-2024;Santo Domingo, Ad.;16
14-01-2024;Rodelillo, Ad.;20
14-01-2024;Pudahuel Santiago;21.9
14-01-2024;Eulogio Sanchez, Tobalaba Ad.;22.2
15-01-2024;Santo Domingo, Ad.;14.6
15-01-2024;Rodelillo, Ad.;19
15-01-2024;Pudahuel Santiago;23.8
15-01-2024;Eulogio Sanchez, Tobalaba Ad.;23.6
16-01-2024;Santo Domingo, Ad.;15.6
16-01-2024;Rodelillo, Ad.;17.9
16-01-2024;Pudahuel Santiago;20.5
16-01-2024;Eulogio Sanchez, Tobalaba Ad.;21.1
17-01-2024;Santo Domingo, Ad.;14.5
17-01-2024;Rodelillo, Ad.;16.1
17-01-2024;Pudahuel Santiago;23.3
17-01-2024;Eulogio Sanchez, Tobalaba Ad.;23.3
18-01-2024;Santo Domingo, Ad.;15.4
18-01-2024;Rodelillo, Ad.;17.2
18-01-2024;Pudahuel Santiago;22.3
18-01-2024;Eulogio Sanchez, Tobalaba Ad.;22.8
19-01-2024;Santo Domingo, Ad.;14.4
19-01-2024;Rodelillo, Ad.;18.1
19-01-2024;Pudahuel Santiago;25.2
19-01-2024;Eulogio Sanchez, Tobalaba Ad.;24.9
20-01-2024;Santo Domingo, Ad.;14.2
20-01-2024;Rodelillo, Ad.;16.5
20-01-2024;Pudahuel Santiago;24.1
20-01-2024;Eulogio Sanchez, Tobalaba Ad.;24.6
21-01-2024;Santo Domingo, Ad.;14.6
21-01-2024;Rodelillo, Ad.;15.1
21-01-2024;Pudahuel Santiago;23.8
21-01-2024;Eulogio Sanchez, Tobalaba Ad.;24.7
22-01-2024;Santo Domingo, Ad.;15.2
22-01-2024;Rodelillo, Ad.;14.7
22-01-2024;Pudahuel Santiago;25.4
22-01-2024;Eulogio Sanchez, Tobalaba Ad.;26
23-01-2024;Santo Domingo, Ad.;15.7
23-01-2024;Rodelillo, Ad.;15.1
23-01-2024;Pudahuel Santiago;22.7
23-01-2024;Eulogio Sanchez, Tobalaba Ad.;24.1
24-01-2024;Santo Domingo, Ad.;15.2
24-01-2024;Rodelillo, Ad.;15.2
24-01-2024;Pudahuel Santiago;24.5
24-01-2024;Eulogio Sanchez, Tobalaba Ad.;25.5
25-01-2024;Santo Domingo, Ad.;16.5
25-01-2024;Rodelillo, Ad.;14.5
25-01-2024;Pudahuel Santiago;24.4
25-01-2024;Eulogio Sanchez, Tobalaba Ad.;26
26-01-2024;Santo Domingo, Ad.;17.5
26-01-2024;Rodelillo, Ad.;16.3
26-01-2024;Pudahuel Santiago;21.1
26-01-2024;Eulogio Sanchez, Tobalaba Ad.;22.7
27-01-2024;Santo Domingo, Ad.;16.9
27-01-2024;Rodelillo, Ad.;17.4
27-01-2024;Pudahuel Santiago;23.9
27-01-2024;Eulogio Sanchez, Tobalaba Ad.;24.8
28-01-2024;Santo Domingo, Ad.;16.9
28-01-2024;Rodelillo, Ad.;16
28-01-2024;Pudahuel Santiago;23.7
28-01-2024;Eulogio Sanchez, Tobalaba Ad.;24.4
29-01-2024;Santo Domingo, Ad.;16.1
29-01-2024;Rodelillo, Ad.;15.3
29-01-2024;Pudahuel Santiago;23.5
29-01-2024;Eulogio Sanchez, Tobalaba Ad.;24.4
30-01-2024;Santo Domingo, Ad.;16.6
30-01-2024;Rodelillo, Ad.;15.7
30-01-2024;Pudahuel Santiago;24.5
30-01-2024;Eulogio Sanchez, Tobalaba Ad.;25.1
31-01-2024;Santo Domingo, Ad.;17.7
31-01-2024;Rodelillo, Ad.;16.8
31-01-2024;Pudahuel Santiago;26.5
31-01-2024;Eulogio Sanchez, Tobalaba Ad.;26.8
01-02-2024;Santo Domingo, Ad.;16.9
01-02-2024;Rodelillo, Ad.;17.2
01-02-2024;Pudahuel Santiago;26.4
01-02-2024;Eulogio Sanchez, Tobalaba Ad.;26.4
02-02-2024;Santo Domingo, Ad.;18.3
02-02-2024;Rodelillo, Ad.;21.7
02-02-2024;Pudahuel Santiago;25.4
02-02-2024;Eulogio Sanchez, Tobalaba Ad.;25.4
03-02-2024;Santo Domingo, Ad.;19
03-02-2024;Rodelillo, Ad.;24.6
03-02-2024;Pudahuel Santiago;27.6
03-02-2024;Eulogio Sanchez, Tobalaba Ad.;26.7
04-02-2024;Santo Domingo, Ad.;16.4
04-02-2024;Rodelillo, Ad.;16.5
04-02-2024;Pudahuel Santiago;24.4
04-02-2024;Eulogio Sanchez, Tobalaba Ad.;24.7
05-02-2024;Santo Domingo, Ad.;16.7
05-02-2024;Rodelillo, Ad.;18
05-02-2024;Pudahuel Santiago;22.3
05-02-2024;Eulogio Sanchez, Tobalaba Ad.;23.2
06-02-2024;Santo Domingo, Ad.;15.8
06-02-2024;Rodelillo, Ad.;16.9
06-02-2024;Pudahuel Santiago;24.6
06-02-2024;Eulogio Sanchez, Tobalaba Ad.;24.7
07-02-2024;Santo Domingo, Ad.;16.8
07-02-2024;Rodelillo, Ad.;18
07-02-2024;Pudahuel Santiago;24.2
07-02-2024;Eulogio Sanchez, Tobalaba Ad.;24.4
08-02-2024;Santo Domingo, Ad.;17.3
08-02-2024;Rodelillo, Ad.;17.4
08-02-2024;Pudahuel Santiago;25.5
08-02-2024;Eulogio Sanchez, Tobalaba Ad.;25.1
09-02-2024;Santo Domingo, Ad.;15.8
09-02-2024;Rodelillo, Ad.;17.8
09-02-2024;Pudahuel Santiago;22.9
09-02-2024;Eulogio Sanchez, Tobalaba Ad.;23.6
10-02-2024;Santo Domingo, Ad.;16.5
10-02-2024;Rodelillo, Ad.;19.5
10-02-2024;Pudahuel Santiago;23
10-02-2024;Eulogio Sanchez, Tobalaba Ad.;23.9
11-02-2024;Santo Domingo, Ad.;15.6
11-02-2024;Rodelillo, Ad.;16.5
11-02-2024;Pudahuel Santiago;23
11-02-2024;Eulogio Sanchez, Tobalaba Ad.;23.5
12-02-2024;Santo Domingo, Ad.;16.3
12-02-2024;Rodelillo, Ad.;19.8
12-02-2024;Pudahuel Santiago;22.9
12-02-2024;Eulogio Sanchez, Tobalaba Ad.;23.5
13-02-2024;Santo Domingo, Ad.;15.9
13-02-2024;Rodelillo, Ad.;16.5
13-02-2024;Pudahuel Santiago;25
13-02-2024;Eulogio Sanchez, Tobalaba Ad.;25
14-02-2024;Santo Domingo, Ad.;18
14-02-2024;Rodelillo, Ad.;17
14-02-2024;Pudahuel Santiago;20.7
14-02-2024;Eulogio Sanchez, Tobalaba Ad.;21.8
15-02-2024;Santo Domingo, Ad.;17.1
15-02-2024;Rodelillo, Ad.;17.1
15-02-2024;Pudahuel Santiago;22.2
15-02-2024;Eulogio Sanchez, Tobalaba Ad.;23.5
16-02-2024;Santo Domingo, Ad.;15.6
16-02-2024;Rodelillo, Ad.;16.3
16-02-2024;Pudahuel Santiago;22.2
16-02-2024;Eulogio Sanchez, Tobalaba Ad.;23.2
17-02-2024;Santo Domingo, Ad.;15.4
17-02-2024;Rodelillo, Ad.;19.8
