"year","month","day","1","2","3","4","5"
2014,4,1,22.67,23.14,23.18,24.05,24.18
2014,4,2,19.8,20.16,20.21,20.94,21.11
2014,4,3,19.77,20.11,20.14,20.79,20.88
2014,4,4,20.37,20.74,20.76,21.46,21.52
2014,4,5,19.43,19.75,19.79,20.44,20.58
2014,4,6,16.71,16.84,16.85,17.17,17.22
2014,4,7,20.62,20.94,20.94,21.42,21.21
2014,4,8,24.05,24.44,24.45,25.08,24.98
2014,4,9,23.55,23.94,23.95,24.59,24.53
2014,4,10,21.37,21.69,21.68,22.24,22.15
2014,4,11,20.7,20.95,20.94,21.37,21.31
2014,4,12,25.64,26.05,26.06,26.71,26.68
2014,4,13,26.53,27.1,27.17,28.16,28.4
2014,4,14,26.38,26.94,26.99,28,28.22
2014,4,15,22.32,22.75,22.8,23.69,23.93
2014,4,16,20.24,20.52,20.51,21.05,21.04
2014,4,17,22.48,22.88,22.9,23.58,23.55
2014,4,18,21.77,22.1,22.09,22.64,22.62
2014,4,19,23.93,24.45,24.49,25.42,25.59
2014,4,20,24.01,24.54,24.58,25.56,25.75
2014,4,21,23.61,24.14,24.18,25.1,25.22
2014,4,22,22.86,23.4,23.47,24.51,24.85
2014,4,23,19.98,20.4,20.48,21.36,21.79
2014,4,24,17.99,18.36,18.46,19.28,19.79
2014,4,25,17.12,17.34,17.41,17.96,18.32
2014,4,26,15.93,15.96,15.93,16.07,15.96
2014,4,27,19.96,20.25,20.24,20.74,20.58
2014,4,28,18.6,18.87,18.88,19.4,19.43
2014,4,29,19.39,19.73,19.75,20.42,20.49
2014,4,30,19.29,19.57,19.61,20.2,20.29
