"year","month","day","1","2","3","4","5"
2014,4,1,6.28,6.07,6.08,5.99,6.42
2014,4,2,6.58,6.42,6.42,6.25,6.4
2014,4,3,5.41,5.19,5.2,4.97,5.24
2014,4,4,5.34,5.1,5.12,4.91,5.27
2014,4,5,5.86,5.62,5.62,5.37,5.58
2014,4,6,6.53,6.41,6.4,6.2,6.08
2014,4,7,3.83,3.46,3.42,3.12,3.41
2014,4,8,4.74,4.48,4.46,4.26,4.56
2014,4,9,5.85,5.6,5.6,5.45,5.88
2014,4,10,6.48,6.46,6.47,6.56,6.71
2014,4,11,5.23,5.15,5.15,5.11,5.22
2014,4,12,4.03,3.85,3.83,3.78,4.19
2014,4,13,3.86,3.68,3.68,3.75,4.36
2014,4,14,5.46,5.28,5.29,5.4,6.05
2014,4,15,7.34,7.21,7.22,7.09,7.44
2014,4,16,6.48,6.41,6.43,6.41,6.53
2014,4,17,4.07,3.89,3.91,3.9,4.37
2014,4,18,3.13,2.99,3.01,3.04,3.48
2014,4,19,3.49,3.27,3.28,3.26,3.79
2014,4,20,3.75,3.56,3.6,3.62,4.31
2014,4,21,3.64,3.39,3.4,3.31,3.94
2014,4,22,4.92,4.66,4.67,4.52,5.09
2014,4,23,6,5.8,5.82,5.64,5.94
2014,4,24,5.8,5.6,5.6,5.34,5.47
2014,4,25,6.2,6.01,5.99,5.7,5.66
2014,4,26,8.39,8.3,8.28,8.11,7.81
2014,4,27,4.77,4.46,4.45,4.24,4.55
2014,4,28,3.06,2.8,2.81,2.63,3.03
2014,4,29,2.65,2.36,2.37,2.08,2.42
2014,4,30,2.94,2.77,2.78,2.63,2.9
